Date,Close
02/01/86,549.43
03/01/86,561.01
07/01/86,564.35
08/01/86,570.53
09/01/86,577.64
10/01/86,593.08
13/01/86,578.98
14/01/86,567.14
15/01/86,575.68
16/01/86,581.24
17/01/86,580.46
23/01/86,588.53
24/01/86,587.82
27/01/86,592.1
28/01/86,579.25
29/01/86,582.25
30/01/86,590.08
31/01/86,597.86
05/02/86,625.27
06/02/86,624.62
07/02/86,627.84
10/02/86,637.34
11/02/86,656.45
12/02/86,651.18
13/02/86,640.08
14/02/86,640.37
17/02/86,633.98
18/02/86,627.21
19/02/86,622.48
20/02/86,627.57
21/02/86,633.15
25/02/86,632.9
27/02/86,649.49
28/02/86,656.89
01/03/86,641.14
03/03/86,627.1
04/03/86,613.44
05/03/86,599.16
06/03/86,591.67
07/03/86,560.09
12/03/86,588.29
13/03/86,593.91
14/03/86,593.56
17/03/86,568.9
18/03/86,560.6
19/03/86,554.83
20/03/86,539.61
21/03/86,525.02
25/03/86,572.97
27/03/86,581.49
31/03/86,574.11
01/04/86,560.74
02/04/86,570.94
03/04/86,582.18
04/04/86,590.9
07/04/86,589.11
08/04/86,606.26
09/04/86,604.59
11/04/86,623.17
15/04/86,626.05
16/04/86,622.79
17/04/86,607.42
21/04/86,610.33
23/04/86,597.91
24/04/86,596.14
25/04/86,599.83
28/04/86,588.91
29/04/86,584.53
30/04/86,598.53
02/05/86,597.1
06/05/86,580.9
07/05/86,575.64
08/05/86,592.72
09/05/86,603.55
12/05/86,603.92
13/05/86,599.13
14/05/86,596.11
15/05/86,598.69
16/05/86,596
20/05/86,596.87
21/05/86,603.03
22/05/86,603.37
26/05/86,598.91
27/05/86,603.29
28/05/86,607.91
29/05/86,619.48
30/05/86,625.64
03/06/86,654.28
04/06/86,658.92
05/06/86,650.65
06/06/86,647.78
09/06/86,651.1
11/06/86,645.22
12/06/86,641.4
13/06/86,632.18
17/06/86,622.75
18/06/86,625.48
19/06/86,622.75
20/06/86,626.13
23/06/86,620.57
24/06/86,624.45
25/06/86,627.09
26/06/86,613.15
27/06/86,605.57
01/07/86,605.24
02/07/86,603.9
03/07/86,613.98
04/07/86,613.6
08/07/86,618.23
09/07/86,615.89
10/07/86,612.86
11/07/86,612.37
15/07/86,610.76
16/07/86,616.95
17/07/86,631.58
18/07/86,633.58
21/07/86,623.05
22/07/86,621.79
23/07/86,591.61
24/07/86,595.35
28/07/86,584.25
31/07/86,596.7
01/08/86,586.08
04/08/86,571.71
05/08/86,567.18
06/08/86,563.31
07/08/86,561.74
08/08/86,570.86
12/08/86,571.13
13/08/86,565.91
14/08/86,549.64
18/08/86,539.33
20/08/86,555.72
21/08/86,557.14
22/08/86,556.52
26/08/86,561.13
28/08/86,553.82
29/08/86,548.4
01/09/86,540.66
02/09/86,555.16
03/09/86,551.83
